,team1Player1,team1Player2,team1Player3,team1Player4,team1Player5,team1Player6,team1Player7,team1Player8,team1Player9,team1Player10,team1Player11,team1Player12,team1Player13,team1Player14,team1Player15,team1Player16,team1Player17,team1Player18,team1Golie1,team2Player1,team2Player2,team2Player3,team2Player4,team2Player5,team2Player6,team2Player7,team2Player8,team2Player9,team2Player10,team2Player11,team2Player12,team2Player13,team2Player14,team2Player15,team2Player16,team2Player17,team2Player18,team2Golie1,score
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M. Darche,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,M. Lapierre,G. Metropolit,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,C. Price,S. Begin,D. Krejci,M. Lucic,D. Paille,M. Recchi,M. Ryder,M. Satan,M. Savard,V. Sobotka,M. Sturm,S. Thornton,B. Wheeler,Z. Chara,A. Ference,M. Hunwick,D. Morris,M. Stuart,D. Wideman,T. Rask,0.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A. Burrows,P. Demitra,T. Glass,J. Hansen,R. Johnson,R. Kesler,M. Raymond,R. Rypien,M. Samuelsson,D. Sedin,H. Sedin,K. Wellwood,N. Baumgartner,A. Edler,C. Ehrhoff,S. O'Brien,A. Rome,S. Salo,R. Luongo,T. Bertuzzi,D. Cleary,P. Datsyuk,K. Draper,P. Eaves,V. Filppula,J. Franzen,D. Helm,T. Holmstrom,D. Miller,J. Williams,H. Zetterberg,J. Ericsson,N. Kronwall,N. Lidstrom,A. Lilja,B. Rafalski,B. Stuart,J. Howard,0.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C. Adams,M. Cooke,S. Crosby,P. Dupuis,R. Fedotenko,T. Kennedy,C. Kunitz,E. Malkin,M. Rupp,J. Staal,M. Talbot,M. Eaton,A. Goligoski,S. Gonchar,J. Leopold,K. Letang,J. McKee,B. Orpik,M. Fleury,A. Anisimov,S. Avery,B. Boyle,R. Callahan,E. Christensen,C. Drury,B. Dubinsky,O. Jokinen,E. Lisin,V. Prospal,B. Prust,J. Shelley,M. Del Zotto,M. Gilroy,D. Girardi,W. Redden,M. Rozsival,M. Staal,H. Lundqvist,0.0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
